,x (geom),y (geom),radius,x (center),y (center),thresh (respect),thresh (absolute),Mapped,cross15,fdr
0,34.0,23.0,1.131370849898476,34.0,23.0,1.764616301648203,66.32742977149651,,False,0.16241697749966533
1,44.0,33.0,1.131370849898476,44.0,33.0,1.6751281695687967,90.58272621150729,,False,0.16241697749966533
2,72.0,62.0,1.131370849898476,72.0,62.0,1.2406952449799857,77.457945320188,,False,-0.6693324464972845
3,59.0,51.0,1.131370849898476,59.0,51.0,1.0989717861071624,135.77647072771484,,False,0.410810041922267
4,78.0,67.0,1.131370849898476,78.0,67.0,1.5495997346234625,66.23272965814112,,False,0.16241697749966533
5,81.0,73.0,1.131370849898476,81.0,73.0,2.132222809017871,142.71088271829367,,True,0.410810041922267
6,85.0,77.0,1.131370849898476,84.0,77.0,1.1129101618274084,95.48044588337413,,True,-0.10620025233945096
7,92.0,84.0,1.0525789514234036,92.0,84.0,1.3485314247647175,96.45926950860928,,True,0.410810041922267
8,95.0,81.0,1.131370849898476,95.0,81.0,2.476183784123421,70.60373025629923,,True,-0.20745910066449436
9,96.0,84.0,1.131370849898476,96.0,84.0,1.36032907671712,109.15551977941855,,True,0.0981223927117546
10,106.0,95.0,1.131370849898476,106.0,95.0,1.7642052792317764,128.5291167428311,,True,0.16241697749966533
11,123.0,107.0,1.131370849898476,123.0,107.0,1.4639922101864213,77.41082923809951,,False,-0.37613594506940995
12,136.0,127.0,1.131370849898476,136.0,127.0,1.3302143131482476,79.55382288056741,,False,0.10695689751679072
13,148.0,136.0,1.0525789514234036,148.0,136.0,1.8013436870721873,82.03228374980827,,False,0.0981223927117546
14,161.0,152.0,1.131370849898476,161.0,152.0,1.2149845532516228,66.99002739180081,,True,0.10695689751679072
15,170.0,161.0,1.131370849898476,170.0,161.0,1.6528559647527052,103.03854965012646,,True,0.10695689751679072
16,189.0,185.0,1.131370849898476,189.0,185.0,2.426940179874554,70.2813000612727,,True,0.265342342362791
17,202.0,196.0,1.131370849898476,202.0,196.0,1.020320427541859,81.40800642207765,,True,-0.06809244727959207
18,190.0,178.0,1.131370849898476,190.0,178.0,2.6427783620775496,119.68402938222538,,False,0.0981223927117546
19,189.0,181.0,1.131370849898476,188.0,181.0,1.0003796318817022,79.15831888743601,,True,-0.10620025233945096
20,209.0,202.0,1.0525789514234036,209.0,202.0,3.2321861609063576,108.54102897208304,,True,-0.10620025233945096
21,215.0,209.0,1.131370849898476,215.0,209.0,2.126943598705873,120.36037622276196,,True,-0.06809244727959207
22,231.0,220.0,1.131370849898476,231.0,220.0,1.9853602451399244,75.65364685229997,,False,0.16241697749966533
23,232.0,225.0,1.131370849898476,232.0,225.0,1.4307475884451681,73.96124396224457,,False,-0.10620025233945096
24,261.0,255.0,1.0525789514234036,261.0,255.0,1.5949678809294228,119.69706300020128,,False,-0.06809244727959207
25,265.0,261.0,1.131370849898476,265.0,261.0,1.244348917769249,121.76074637439825,,False,0.265342342362791
26,269.0,262.0,1.131370849898476,269.0,262.0,1.0452194750317045,115.26379589196986,,False,-0.10620025233945096
27,273.0,268.0,1.131370849898476,273.0,268.0,1.2384717501970746,220.70356506173368,,False,-0.4707536045262699
28,281.0,270.0,1.0525789514234036,281.0,270.0,6.19484005892804,102.84146719347747,,True,0.16241697749966533
29,286.0,275.0,1.131370849898476,286.0,275.0,1.5460673219725207,75.95976341349477,,True,0.16241697749966533
30,287.0,281.0,1.131370849898476,287.0,281.0,1.2888420145454569,89.87479891735245,,True,-0.06809244727959207
31,287.0,264.0,1.131370849898476,287.0,264.0,6.157484432056638,155.12532230847992,,True,0.6391143844590188
32,299.0,290.0,1.131370849898476,299.0,290.0,2.35522491641855,85.5766724755507,,True,0.10695689751679072
33,299.0,294.0,1.131370849898476,298.0,294.0,1.2742699228808705,99.94697064980231,,True,0.265342342362791
34,320.0,311.0,1.131370849898476,320.0,311.0,1.8890381669814507,141.93927163816272,,True,0.10695689751679072
35,351.0,346.0,1.0525789514234036,351.0,346.0,2.011923532955495,148.73976108795497,,False,-0.4707536045262699
36,363.0,358.0,1.131370849898476,363.0,358.0,1.431192223488684,94.06075130681151,,False,-0.4707536045262699
