,x (geom),y (geom),radius,x (center),y (center),thresh (respect),thresh (absolute),Mapped,cross15,fdr
0,35.0,27.0,1.131370849898476,35.0,27.0,1.286003004182168,70.24499256803347,,False,0.09991122565156052
1,40.0,35.0,1.131370849898476,40.0,35.0,1.7442163108264983,118.37980806818777,,False,-0.3953070958087168
2,48.0,40.0,1.131370849898476,48.0,40.0,1.6820758049140871,106.6548497155028,,False,0.09991122565156052
3,59.0,51.0,1.131370849898476,59.0,51.0,1.092120941184182,89.65212334741291,,False,0.09991122565156052
4,85.0,74.0,1.131370849898476,85.0,74.0,1.7991382024399218,76.48852947180833,,False,-0.008134724550561856
5,86.0,77.0,1.0525789514234036,86.0,77.0,1.720026086766445,98.8536497901729,,False,0.0964248657545379
6,93.0,87.0,1.131370849898476,93.0,87.0,1.6621205138854356,109.00057643971451,,False,-0.04833382843324707
7,127.0,114.0,1.131370849898476,127.0,114.0,1.6205231302952452,91.02205003356008,,False,-0.0059467300390838584
8,135.0,129.0,1.0525789514234036,135.0,129.0,2.0297210414869182,122.03996475564337,,False,-0.04833382843324707
9,155.0,149.0,1.131370849898476,155.0,149.0,1.006193526167511,72.78443783424214,,False,-0.04833382843324707
10,159.0,149.0,1.131370849898476,159.0,149.0,1.216272765146754,65.48024872151558,,False,0.1438673446610489
11,168.0,158.0,1.131370849898476,168.0,158.0,1.8493073357028271,73.11643293515905,,False,0.1438673446610489
12,180.0,172.0,1.131370849898476,180.0,172.0,1.5931939218652993,99.93149749853119,,True,0.09991122565156052
13,187.0,174.0,1.131370849898476,187.0,174.0,3.0166139274560364,78.94159655839519,,True,-0.0059467300390838584
14,187.0,179.0,1.131370849898476,187.0,179.0,1.0496559700740047,101.01779913384898,,True,0.09991122565156052
15,191.0,183.0,1.131370849898476,191.0,183.0,3.5840095499454665,76.71766376311595,,True,0.09991122565156052
16,200.0,187.0,1.131370849898476,200.0,187.0,2.0255094630566854,68.95427051984126,,True,-0.0059467300390838584
17,201.0,191.0,1.131370849898476,201.0,191.0,6.146253780851008,168.62378375482686,,True,0.1438673446610489
18,207.0,193.0,1.0525789514234036,207.0,193.0,5.7339832128467805,81.74541123590681,,True,-1.0541986923166435
19,223.0,213.0,1.131370849898476,223.0,213.0,1.5568635349684075,92.4568871350347,,False,0.1438673446610489
20,233.0,223.0,1.0525789514234036,233.0,223.0,2.8126329486032113,89.33208853001031,,False,0.1438673446610489
21,235.0,227.0,1.131370849898476,235.0,227.0,1.0398428141644476,64.59864182459526,,False,0.09991122565156052
22,244.0,227.0,1.131370849898476,244.0,227.0,1.3988782905886166,81.18036445528783,,False,0.5561511057161315
23,262.0,256.0,1.0525789514234036,262.0,256.0,3.1544653372081455,118.75359388868549,,True,-0.04833382843324707
24,309.0,298.0,1.131370849898476,309.0,298.0,4.2008482510251985,127.60198865104856,,False,-0.008134724550561856
25,325.0,310.0,1.131370849898476,325.0,310.0,1.8692562963044856,96.80132358956351,,False,0.219698674174707
26,340.0,330.0,1.131370849898476,340.0,330.0,1.0977411958306325,78.44676452482611,,True,0.1438673446610489
27,356.0,347.0,1.131370849898476,356.0,346.0,1.6766655720424029,109.13445937147,,True,0.1438673446610489
28,361.0,356.0,1.131370849898476,361.0,356.0,1.128987190086427,89.52423692132596,,True,-0.3953070958087168
29,365.0,355.0,1.131370849898476,364.0,355.0,1.1872586122250008,107.12681268350329,,True,0.0964248657545379
30,379.0,371.0,1.131370849898476,379.0,371.0,1.5073721295300928,93.19581480988506,,False,0.09991122565156052
31,401.0,383.0,1.131370849898476,401.0,383.0,2.2393549656589906,118.23663379115007,,False,-0.8989035896584359
32,406.0,400.0,1.131370849898476,406.0,400.0,2.362764839052058,96.42607318081429,,False,-0.04833382843324707
33,424.0,416.0,1.131370849898476,424.0,416.0,1.502331637321272,97.40356220490727,,False,0.09991122565156052
34,416.0,406.0,1.131370849898476,416.0,406.0,1.2316573886397928,102.46560387034305,,False,0.1438673446610489
35,435.0,426.0,1.0525789514234036,435.0,426.0,1.6472109290420545,84.37709766242818,,True,0.0964248657545379
36,443.0,436.0,1.131370849898476,443.0,436.0,1.7986288215946389,117.49107622998174,,True,-0.21658868625448457
37,448.0,444.0,1.131370849898476,447.0,444.0,1.5937604844080995,158.8808014031072,,True,-1.6842252753774205
38,456.0,450.0,1.0525789514234036,455.0,450.0,1.3864922761767635,141.77971588703105,,True,-0.3953070958087168
39,466.0,458.0,1.131370849898476,466.0,458.0,1.5631681566485396,98.11518725586818,,True,0.09991122565156052
40,471.0,466.0,1.131370849898476,471.0,466.0,1.545895666795852,89.17897009834805,,True,-0.3953070958087168
41,481.0,466.0,1.131370849898476,481.0,466.0,2.8504503138967445,66.81321791663343,,True,0.219698674174707
42,507.0,498.0,1.131370849898476,507.0,498.0,1.0760238653526453,84.64912625699873,,True,0.0964248657545379
43,498.0,494.0,1.0525789514234036,498.0,494.0,2.844552609300875,137.52473367540148,,True,0.46059844649211723
44,498.0,490.0,1.131370849898476,498.0,490.0,1.9373575221074273,95.54997113887335,,True,0.09991122565156052
45,516.0,508.0,1.131370849898476,516.0,508.0,1.0629337607676053,75.75950968103764,,False,0.09991122565156052
46,528.0,522.0,1.0525789514234036,528.0,521.0,1.1341620737294333,153.41353260683232,,False,-0.21658868625448457
47,519.0,507.0,1.0525789514234036,519.0,507.0,1.1514383351000517,102.72790737200592,,False,-0.18007072027412763
48,536.0,528.0,1.131370849898476,536.0,528.0,2.34694178577728,171.48438196015312,,False,0.09991122565156052
49,544.0,536.0,1.131370849898476,543.0,536.0,1.5343328638023102,103.47541859479433,,False,-0.21658868625448457
50,561.0,548.0,1.131370849898476,561.0,548.0,3.255650963473977,116.9903670211452,,False,-0.0059467300390838584
51,573.0,569.0,1.131370849898476,573.0,569.0,3.8395104881984423,153.88938970398834,,False,0.46059844649211723
52,578.0,572.0,1.131370849898476,578.0,572.0,2.177176766794841,92.06532566206234,,False,-0.04833382843324707
53,579.0,566.0,1.0525789514234036,579.0,566.0,1.8363210706304418,78.3635427047819,,False,-0.0059467300390838584
54,618.0,607.0,1.131370849898476,618.0,606.0,1.0417497714883597,64.59540372010653,,False,-0.18007072027412763
55,619.0,604.0,1.131370849898476,619.0,604.0,1.77417470194545,141.70773000182416,,False,0.219698674174707
56,630.0,626.0,1.131370849898476,630.0,626.0,1.0672468801140726,142.76300118212237,,False,0.46059844649211723
57,640.0,630.0,1.131370849898476,640.0,630.0,2.213693169043224,82.77757930365483,,False,0.1438673446610489
58,657.0,650.0,1.131370849898476,656.0,650.0,1.3792857809223908,75.6080331448374,,False,-0.04833382843324707
59,670.0,663.0,1.131370849898476,670.0,663.0,2.282108185072242,152.28438286109406,,False,-0.21658868625448457
60,682.0,669.0,1.131370849898476,682.0,669.0,2.2909864959344297,90.96455223898248,,False,-0.0059467300390838584
61,691.0,682.0,1.131370849898476,691.0,682.0,1.7317760836175116,93.38018558296586,,False,0.0964248657545379
62,712.0,706.0,1.131370849898476,712.0,706.0,1.3178053722219423,69.46176660059989,,False,-0.04833382843324707
63,704.0,696.0,1.131370849898476,704.0,696.0,1.876282248802594,113.59703525494139,,False,0.09991122565156052
64,716.0,712.0,1.131370849898476,716.0,712.0,1.578770186557319,112.75111025939546,,False,0.46059844649211723
65,721.0,712.0,1.131370849898476,721.0,711.0,1.9826832334553,106.1269686591696,,False,0.1438673446610489
66,754.0,748.0,1.0525789514234036,754.0,748.0,1.223215754169533,68.66343520485518,,False,-0.04833382843324707
67,744.0,732.0,1.0525789514234036,744.0,732.0,1.8463330352684064,98.62224917533878,,False,-0.18007072027412763
68,761.0,754.0,1.131370849898476,761.0,754.0,1.2800637552711607,98.4340766507565,,False,-0.21658868625448457
69,801.0,794.0,1.0525789514234036,800.0,794.0,1.8488384007008312,106.62587821120025,,True,-0.04833382843324707
